Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2020,Counts,847,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2020,Counts,161,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2020,Counts,686,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2020,Counts,304,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2020,Counts,3162,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2020,Counts,199,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2020,Counts,798,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2020,Counts,107,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2020,Counts,417,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2020,Counts,20,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2020,Counts,79,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2020,Counts,8,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2020,Counts,84,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2020,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2020,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2020,Counts,403,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2020,"Rate per 100,000 population",29.49212096,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2020,"Rate per 100,000 population",5.605940347,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2020,"Rate per 100,000 population",23.88618061,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2020,"Rate per 100,000 population",10.5851296,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2020,"Rate per 100,000 population",110.0992756,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2020,"Rate per 100,000 population",6.929081547,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2020,"Rate per 100,000 population",27.7859652,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2020,"Rate per 100,000 population",3.725687063,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2020,"Rate per 100,000 population",14.51973369,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2020,"Rate per 100,000 population",0.696390105,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2020,"Rate per 100,000 population",2.750740916,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2020,"Rate per 100,000 population",0.278556042,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2020,"Rate per 100,000 population",2.924838442,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2020,"Rate per 100,000 population",0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2020,"Rate per 100,000 population",0.034819505,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2020,"Rate per 100,000 population",14.03226062,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Corruption,Total,Total,2020,Counts,1496,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Corruption: Bribery,Total,Total,2020,Counts,102,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Smuggling of migrants,Total,Total,2020,Counts,477,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2020,Counts,94,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2020,Counts,57,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2020,Counts,1135,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2020,Counts,353,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2020,Counts,11,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2020,Counts,483,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Corruption,Total,Total,2020,"Rate per 100,000 population",3.396750622,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Corruption: Bribery,Total,Total,2020,"Rate per 100,000 population",0.231596633,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Smuggling of migrants,Total,Total,2020,"Rate per 100,000 population",1.083054844,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2020,"Rate per 100,000 population",0.213432191,CTS
DZA,Algeria,Africa,Northern Africa,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2020,"Rate per 100,000 population",0.129421648,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2020,"Rate per 100,000 population",2.577080184,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2020,"Rate per 100,000 population",0.801505996,CTS
DZA,Algeria,Africa,Northern Africa,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2020,"Rate per 100,000 population",0.024976108,CTS
