Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
AFG,Afghanistan,Asia,Southern Asia,Victims of intentional homicide,Total,Total,Total,Total,2020,Counts,2570,NSO
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2020,Counts,69,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2020,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2020,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2020,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Total,Total,2020,Counts,61,MD/CTS/GSH 2023 Revision/NSO/SDG
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Male,Total,2020,Counts,52,MD/CTS/GSH 2023 Revision/NSO/SDG
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Female,Total,2020,Counts,9,MD/CTS/GSH 2023 Revision/SDG/NSO
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2020,Counts,9,GSH 2023 Revision/CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,Counts,41,CTS/GSH 2023 Revision
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2020,Counts,10,CTS/GSH 2023 Revision
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2020,Counts,10,CTS/GSH 2023 Revision
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,10 -14,2020,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,15 -17,2020,Counts,3,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,25-29,2020,Counts,22,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,30-44,2020,Counts,33,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,45-59,2020,Counts,8,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,60 and older,2020,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Persons convicted for intentional homicide,Total,Total,Total,Total,2020,Counts,62,CTS
ALB,Albania,Europe,Southern Europe,Death due to intentional homicide in prison,Total,Total,Total,Total,2020,Counts,0,CTS/SDG
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,Total,Total,Total,Total,2020,Counts,654,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,Total,Total,Male,Total,2020,Counts,532,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,Total,Total,Female,Total,2020,Counts,122,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2020,Counts,101,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2020,Counts,37,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Male,Total,2020,Counts,11,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Female,Total,2020,Counts,26,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2020,Counts,64,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Male,Total,2020,Counts,46,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Female,Total,2020,Counts,18,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,57,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Female,Total,2020,Counts,44,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2020,Counts,327,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Male,Total,2020,Counts,299,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Female,Total,2020,Counts,28,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2020,Counts,153,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2020,Counts,110,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2020,Counts,43,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2020,Counts,73,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2020,Counts,66,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Female,Total,2020,Counts,7,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Organized criminal groups or gangs,Total,Total,2020,Counts,26,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Organized criminal groups or gangs,Male,Total,2020,Counts,25,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Organized criminal groups or gangs,Female,Total,2020,Counts,1,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Other criminal activities,Total,Total,2020,Counts,25,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Other criminal activities,Male,Total,2020,Counts,23,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Other criminal activities,Female,Total,2020,Counts,2,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2020,Counts,393,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Interpersonal homicide,Male,Total,2020,Counts,292,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Interpersonal homicide,Female,Total,2020,Counts,101,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Socio-political homicide - terrorist offences,Total,Total,2020,Counts,33,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Socio-political homicide - terrorist offences,Male,Total,2020,Counts,32,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Socio-political homicide - terrorist offences,Female,Total,2020,Counts,1,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2020,Counts,177,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Unknown types of homicide,Male,Total,2020,Counts,160,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by situational context,Unknown types of homicide,Female,Total,2020,Counts,17,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,Counts,58,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2020,Counts,368,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2020,Counts,150,CTS
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2020,Counts,78,CTS
DZA,Algeria,Africa,Northern Africa,Persons convicted for intentional homicide,Total,Total,Total,Total,2020,Counts,573,CTS
AND,Andorra,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Total,Total,2020,Counts,2,Interpol/CTS
AND,Andorra,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Male,Total,2020,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2020,Counts,8,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2020,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2020,Counts,9,MD/PAHO/OAS/CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,Total,2020,Counts,8,MD/PAHO/OAS/CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Female,Total,2020,Counts,1,MD/PAHO/OAS/CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Male,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Male,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Male,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2020,Counts,8,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Male,Total,2020,Counts,8,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Female,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2020,Counts,3,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2020,Counts,3,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2020,Counts,5,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2020,Counts,5,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2020,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,Unknown,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Female,Unknown,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,0-9,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Female,0-9,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,10 -14,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Female,10 -14,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,15 -17,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Female,15 -17,2020,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Male,18-19,2020,Counts,0,CTS
